Time,Load in lbs,Left right Center of pressure in cm
0.50099041,199.0682217,0.017487232
0.501989731,199.0687219,0.017488893
0.502987879,199.0692371,0.017490627
0.504010682,199.0697579,0.017492103
0.504985756,199.070191,0.017493057
0.506003753,199.0707016,0.017493681
0.506985309,199.071314,0.01749439
0.508001978,199.0719838,0.01749482
0.509004032,199.0727274,0.017495014
0.509984424,199.073417,0.017495139
0.511001499,199.0742502,0.017495764
0.512001093,199.0749616,0.017496544
0.513001816,199.0756581,0.017497281
0.513999634,199.0762454,0.017498095
0.514999392,199.0766608,0.017498799
0.515998419,199.0768656,0.017499233
0.516992192,199.0771387,0.017499519
0.517999107,199.0772885,0.017499721
0.518998719,199.0775465,0.017499505
0.520001154,199.0778415,0.017499289
0.520998583,199.0781732,0.017499188
0.521997625,199.0786092,0.017499219
0.522998455,199.079112,0.017499243
0.523997753,199.0797962,0.017498956
0.525015575,199.0804867,0.017498904
0.525994189,199.0808994,0.017498702
0.526994053,199.0809969,0.017498663
0.527985619,199.080923,0.01749853
0.528991423,199.0807058,0.017497965
0.52999064,199.0805684,0.017497367
0.530992805,199.0804713,0.017496245
0.531989663,199.0805649,0.017494946
0.532992172,199.080837,0.017493636
0.533991588,199.0812951,0.017492348
0.53501295,199.0818085,0.017491322
0.535988569,199.0823744,0.017490838
0.536982695,199.0829797,0.017490616
0.538007716,199.0837636,0.017490085
0.538986244,199.0847064,0.017489538
0.539987131,199.0857252,0.017488752
0.540984765,199.0869336,0.017487963
0.542004436,199.0881993,0.017486879
0.54300157,199.0893681,0.017485508
0.544001092,199.0904141,0.017484008
0.545001404,199.0917551,0.017482509
0.546001097,199.0934911,0.017480826
0.547003418,199.095349,0.017479606
0.547998375,199.0973289,0.017478715
0.54899889,199.0995671,0.01747827
0.549999021,199.1017557,0.017478008
0.550996887,199.1038342,0.017477904
0.551995289,199.1058141,0.017478033
0.55299611,199.1078994,0.017477681
0.553998539,199.1098758,0.017476914
0.554997196,199.1118992,0.017476294
0.555997099,199.114176,0.01747556
0.556997213,199.1166496,0.017475169
0.558000652,199.1193318,0.017474908
0.559001679,199.1222976,0.017474769
0.559999718,199.1251563,0.017475037
0.561016162,199.1279125,0.017475701
0.561997518,199.1305459,0.017476576
0.562995255,199.1333325,0.017477824
0.563994809,199.1360545,0.017479235
0.564993567,199.1386578,0.017480675
0.566017568,199.1410555,0.01748187
0.567015462,199.1434256,0.017482941
0.568012623,199.1457955,0.017483713
0.568989318,199.1483475,0.017484683
0.570002182,199.1512033,0.017486032
0.57098945,199.1541051,0.017487408
0.572008024,199.1571315,0.017488997
0.573006509,199.1602215,0.017491225
0.57401046,199.1631335,0.01749397
0.575006914,199.1658046,0.017496989
0.576005992,199.1681753,0.017499866
0.577003618,199.1700802,0.01750281
0.578004906,199.1717308,0.017505208
0.579004376,199.1732372,0.01750756
0.58000362,199.1747085,0.017509648
0.581008304,199.1760786,0.017511916
0.582005662,199.1777019,0.017514142
0.583005351,199.1793769,0.017516753
0.584001981,199.1809274,0.017519734
0.585000138,199.1822631,0.017523364
0.586001226,199.1832997,0.017527155
0.586999331,199.184156,0.017531363
0.58800045,199.1847854,0.017535736
0.589001445,199.1851081,0.017540056
